result_id,result_name,sector_id,sector_name,fiscal_year,disbursements,value,male_value,female_value
,disbursements,111,"Education, Level Unspecified",2020,27825,,,
1138,education administrators and officials completed professional development activities,111,"Education, Level Unspecified",2017,,2070,,
1138,education administrators and officials completed professional development activities,111,"Education, Level Unspecified",2018,,5111,,
1138,education administrators and officials completed professional development activities,111,"Education, Level Unspecified",2019,,3817,,
1138,education administrators and officials completed professional development activities,111,"Education, Level Unspecified",2020,,4035,2972,1063
1778,inclusive textbooks and learning materials provided by USG assistance,111,"Education, Level Unspecified",2020,,2389108,,
1267,parent teacher associations or community governance structures engaged in primary or secondary education,111,"Education, Level Unspecified",2017,,336,,
1267,parent teacher associations or community governance structures engaged in primary or secondary education,111,"Education, Level Unspecified",2018,,1500,,
1319,primary or secondary educators completed professional development activities,111,"Education, Level Unspecified",2016,,7148,4815,2333
1319,primary or secondary educators completed professional development activities,111,"Education, Level Unspecified",2017,,1931,446,1485
1319,primary or secondary educators completed professional development activities,111,"Education, Level Unspecified",2018,,4633,647,3986
1319,primary or secondary educators completed professional development activities,111,"Education, Level Unspecified",2019,,11465,2481,8984
1319,primary or secondary educators completed professional development activities,111,"Education, Level Unspecified",2020,,10159,2060,8099
1321,primary or secondary school educators completed professional development activities on teaching students with special educational needs,111,"Education, Level Unspecified",2019,,7631,,
1324,primary school educators completed professional development activities on implementing evidence-based reading instruction,111,"Education, Level Unspecified",2017,,1720,320,1400
1324,primary school educators completed professional development activities on implementing evidence-based reading instruction,111,"Education, Level Unspecified",2018,,4633,647,3986
1324,primary school educators completed professional development activities on implementing evidence-based reading instruction,111,"Education, Level Unspecified",2019,,11465,,
1780,schools receiving USG assistance,111,"Education, Level Unspecified",2020,,2591,,
,disbursements,112,Basic Education,2014,11372653,,,
,disbursements,112,Basic Education,2015,5615049,,,
,disbursements,112,Basic Education,2016,11412102,,,
,disbursements,112,Basic Education,2017,14921268,,,
,disbursements,112,Basic Education,2018,15707921,,,
,disbursements,112,Basic Education,2019,23398693,,,
,disbursements,112,Basic Education,2020,20469423,,,
648,development innovations supported,112,Basic Education,2017,,5,,
648,development innovations supported,112,Basic Education,2018,,5,,
648,development innovations supported,112,Basic Education,2019,,6,,
648,development innovations supported,112,Basic Education,2020,,3,,
3,educators successfully completed preservice training,112,Basic Education,2014,,5130,2268,2862
3,educators successfully completed preservice training,112,Basic Education,2015,,2688,1174,1514
3,educators successfully completed preservice training,112,Basic Education,2016,,1726,744,982
4,"educators successfully completed training, coaching, or mentoring",112,Basic Education,2014,,14167,,
4,"educators successfully completed training, coaching, or mentoring",112,Basic Education,2015,,3298,,
10,learners enrolled in primary schools and/or equivalent non-school based settings,112,Basic Education,2017,,158468,81510,76958
10,learners enrolled in primary schools and/or equivalent non-school based settings,112,Basic Education,2018,,773847,381987,391860
